AMF_inoculum,Bacterial_treatment,Replicate,Leaf_number,Height_cm,Shoot_biomass_g,Root_biomass_g,Total_biomass_g,Spore_density_ind_10g_soil,Mycelium_density_m_g_soil,Total_root_length_m,Root_diameter_mm,Frequency_of_mycorrhiza_%,Colonization_intensity_%,Arbuscule_abundance_%,Vesicle_abundance_%
BC4,W,1,9,86.9,2.504,0.431,2.935,56,0.755,4.012,0.867,83.333,20.8,18.713,0.998
BC4,W,2,9,76.7,1.865,0.47,2.335,78,1.209,4.43,0.85,77.333,18.4,17.402,1.963
BC4,W,3,10,78.3,3.086,0.806,3.892,77,0.814,6.868,0.821,83.333,24.033,23.133,4.134
BC4,W,4,11,114.3,6.388,1.514,7.902,65,0.617,22.073,0.637,70,12.467,11.74,1.365
BC4,W,5,10,113.8,4.902,0.868,5.77,59,0.592,8.598,0.871,76.667,19.533,18.973,1.868
BC4,W,6,10,114,5.719,1.367,7.086,48,0.543,12.037,0.844,73.333,15.167,14.45,1.448
BC5,NW,1,8,70.5,2.084,0.406,2.49,22,0.666,4.686,0.744,86.667,37.767,37.587,10.458
BC5,NW,2,6,65,1.103,0.232,1.335,21,0.37,3.18,0.669,76.667,25.633,23.967,6.13
BC5,NW,3,9,79.2,2.626,0.528,3.154,22,0.567,4.869,0.705,86.667,41.033,40.75,15.466
BC5,NW,4,11,95.2,3.955,0.744,4.699,31,0.543,8.143,0.716,76.667,34.867,33.683,8.944
BC5,NW,5,9,78.6,2.45,0.493,2.943,23,0.558,5.388,0.702,82.667,33.78,32.555,8.405
BC5,NW,6,9,83.2,2.507,0.531,3.038,20,0.641,6.063,0.678,86.667,29.6,26.787,1.025
BC5,W,1,9,77.8,1.885,0.39,2.275,40,0.444,6.118,0.618,63.333,4.633,3.623,0.073
BC5,W,2,10,103.2,5.854,1.539,7.393,68,1.135,24.396,0.64,73.333,19.133,18.703,1.392
BC5,W,3,10,96.5,3.531,0.819,4.35,32,0.864,7.231,0.793,73.333,30.133,28.86,4.109
BC5,W,4,10,68.7,1.637,0.411,2.048,24,0.567,3.994,0.686,83.333,14.933,10.9,1.075
BC5,W,5,11,101.9,4.207,0.736,4.943,26,0.592,11.42,0.618,73.333,35.567,35.503,3.395
BC5,W,6,8,71.8,1.291,0.382,1.673,15,0.444,5.506,0.562,76.667,23.933,22.287,3.85
SY1,NW,1,10,110.5,3.526,0.635,4.161,43,0.641,8.185,0.69,90,43.267,42.67,12.98
SY1,NW,2,11,94.3,4.17,0.688,4.858,31,0.789,8.403,0.798,80,24.067,23.597,4.813
SY1,NW,3,13,105.1,5.893,1.173,7.066,35,0.987,17.277,0.735,90,43.2,42.75,13.6
SY1,NW,4,13,106.4,4.698,1.001,5.699,41,0.74,11.064,0.8,83.333,33.5,33.39,9.648
SY1,NW,5,10,86.45,4.043,0.616,4.659,39,0.819,10.963,0.756,87.333,39.073,38.451,11.582
SY1,NW,6,11,102.4,5.331,0.837,6.168,47,0.938,9.886,0.755,93.333,51.333,49.85,16.867
SY1,W,1,11,110,5.498,1.386,6.884,57,1.051,17.871,0.71,79.333,30.893,29.905,8.696
SY1,W,2,10,83.1,2.887,0.583,3.47,51,1.061,6.474,0.791,86.667,41,40.77,15.138
SY1,W,3,12,119.5,5.682,1.421,7.103,54,1.061,22.7,0.654,76.667,24.5,22.78,7.137
SY1,W,4,11,112.7,5.862,1.635,7.497,57,0.864,19.458,0.692,76.667,28.6,26.767,8.456
SY1,W,5,11,120.2,7.206,1.83,9.036,82,0.987,19.458,0.747,80,34.033,33.86,7.941
SY1,W,6,10,114.6,5.734,1.577,7.311,44,1.283,21.263,0.668,76.667,26.333,25.347,4.809
SY2,NW,1,12,98.9,6.743,1.301,8.044,28,1.061,17.797,0.735,90,46.7,45.017,17.642
SY2,NW,2,13,80.6,3.793,0.747,4.54,41,0.839,6.972,0.834,86.667,13.233,11.417,4.479
SY2,NW,3,12,61.2,3.402,0.715,4.117,30,0.518,6.038,0.833,76.667,12.2,11.343,2.016
SY2,NW,4,12,87.1,4.492,0.782,5.274,28,1.135,8.239,0.844,76.667,24.4,23.957,4.35
SY2,NW,5,12,89.1,3.246,0.6,3.846,36,0.913,7.825,0.817,86.667,28.967,28.527,1.003
SY2,NW,6,11,116,5.785,1.012,6.797,35,1.135,10.922,0.809,83.333,27.467,27.187,3.845
SY2,W,1,11,89.9,3.978,0.923,4.901,37,0.617,8.391,0.883,80,21.067,18.553,3.423
SY2,W,2,11,95,5.239,1.173,6.412,36,0.666,11.769,0.785,76.667,15.533,14.123,3.782
SY2,W,3,10,91.6,3.53,0.893,4.423,40,0.493,10.032,0.763,76.667,20.3,15.723,4.413
SY2,W,4,11,93.5,4.095,1.015,5.11,35,0.597,10.973,0.806,78.667,19.547,17.13,3.802
SY2,W,5,12,90.6,3.851,0.963,4.814,34,0.691,7.56,0.901,86.667,21.767,19.603,4.27
SY2,W,6,11,100.5,3.903,1.097,5,32,0.518,17.113,0.698,73.333,19.067,17.647,3.12
SY3,NW,1,9,96.2,3.139,0.687,3.826,31,0.543,5.12,0.96,80,42,39.94,6.3
SY3,NW,2,8,61.2,1.345,0.308,1.653,38,0.567,3.071,0.709,90,20.667,19.82,0.842
SY3,NW,3,8,73.5,1.752,0.406,2.158,34,0.296,4.481,0.703,76.667,21.5,21.043,1.776
SY3,NW,4,7,77.7,1.413,0.293,1.706,28,0.518,3.627,0.636,80,7.767,6.877,0.356
SY3,NW,5,9,85.6,3.24,0.596,3.836,36,0.419,5.443,0.778,83.333,25.967,25.4,1.766
SY3,NW,6,6,65.2,1.311,0.303,1.614,19,0.493,3.781,0.668,83.333,21.467,20.377,0.515
SY3,W,1,7,75.2,1.316,0.294,1.61,22,0.493,3.746,0.788,80,27.7,27.117,3.347
SY3,W,2,10,90.5,2.903,0.575,3.478,36,0.518,6.128,0.772,80,22.483,21.403,3.106
SY3,W,3,10,84.8,3.093,0.582,3.675,45,0.666,5.519,0.789,73.333,16.7,16.283,1.746
SY3,W,4,12,91.7,3.254,0.57,3.824,44,0.37,6.167,0.784,96.667,22.467,19.607,4.803
SY3,W,5,9,110.2,3.988,0.817,4.805,33,0.543,9.08,0.726,70,23.067,22.603,2.526
SY3,W,6,10,90.5,2.903,0.575,3.478,36,0.52,6.128,0.772,80,22.483,21.403,3.106
SP1,NW,1,9,86.5,2.879,0.435,3.314,33,0.617,5.617,0.738,93.333,42.933,40.923,13.647
SP1,NW,2,8,73,1.497,0.278,1.775,35,0.469,4.127,0.712,83.333,24.967,20.953,9.787
SP1,NW,3,10,101.2,4.158,0.653,4.811,39,0.938,6.535,0.836,86.667,31.5,31.197,8.481
SP1,NW,4,9,75.5,2.51,0.532,3.042,30,0.641,5.313,0.733,93.333,39.367,38.017,7.311
SP1,NW,5,9,84.1,2.749,0.486,3.235,34,0.666,5.398,0.755,89.167,34.692,32.773,9.806
SP1,NW,6,9,84.1,2.749,0.486,3.235,34,0.67,5.398,0.755,89.167,34.692,32.773,9.806
SP1,W,1,9,118.9,5.014,1.113,6.127,39,0.987,15.006,0.645,80,33.767,33.277,3.799
SP1,W,2,9,84.9,2.833,0.521,3.354,28,1.012,8.131,0.649,83.333,30.9,29.953,4.697
SP1,W,3,9,94.1,3.635,0.872,4.507,28,1.086,9.263,0.783,90,18.63,26.87,3.603
SP1,W,4,8,78.3,2.864,0.699,3.563,26,0.913,6.959,0.808,90,18.633,18.4,0.207
SP1,W,5,9,113.1,5.131,1.088,6.219,40,1.036,13.23,0.639,90,37.367,26.87,3.6
SP1,W,6,9,91.4,3.477,0.737,4.214,35,0.765,8.886,0.699,93.333,38.433,38.02,11.53
SP2,NW,1,10,94.8,4.274,0.885,5.159,58,1.135,8.782,0.756,86.667,43.7,43.35,12.942
SP2,NW,2,12,100,5.64,1.083,6.723,45,0.962,9.191,0.883,96.667,38.3,38.04,9.377
SP2,NW,3,10,100.3,4.25,0.85,5.1,78,0.493,7.572,0.815,93.333,59.2,59.1,12.263
SP2,NW,4,10,83.5,2.377,0.544,2.921,31,0.493,6.831,0.687,76.667,36.8,36.593,10.24
SP2,NW,5,9,92.2,2.725,0.594,3.319,32,0.444,6.472,0.713,90,44.7,44.12,7.45
SP2,NW,6,9,74.2,2.164,0.457,2.621,60,0.715,5.223,0.644,90,43.233,43.007,9.607
SP2,W,1,11,107.5,4.499,1.233,5.732,65,1.184,18.272,0.639,83.333,41.867,41.587,12.058
SP2,W,2,12,103.2,5.595,0.738,6.333,51,1.258,9.282,0.64,80,31.067,30.687,8.026
SP2,W,3,12,93.4,5.1,1.984,7.084,56,0.789,27.983,0.68,93.333,38.6,37.937,7.72
SP2,W,4,10,121.1,4.961,1.037,5.998,79,0.987,9.997,0.814,80,15.633,15.15,1.368
SP2,W,5,11,105.8,3.892,1.218,5.11,57,1.012,15.567,0.712,81.333,27.833,27.38,5.903
SP2,W,6,12,100.3,5.323,1.453,6.776,67,1.678,13.956,0.714,70,12,11.54,0.343
SP3,NW,1,5,51.5,0.791,0.267,1.058,21,0.518,1.557,0.744,76,14.8,13.048,2.571
SP3,NW,2,9,72.2,1.845,0.388,2.233,36,0.666,3.842,0.77,86.667,34.2,30.803,3.683
SP3,NW,3,10,93.5,3.491,0.677,4.168,22,0.888,6.192,0.8,83.333,26.3,25.983,1.262
SP3,NW,4,5,55.5,0.828,0.259,1.087,24,0.839,2.334,0.637,80,11.4,10.465,0.926
SP3,NW,5,4,61.5,0.663,0.142,0.805,19,0.938,3.372,0.53,70,10.9,10.307,0.208
SP3,NW,6,9,65.7,2.1,0.412,2.512,21,0.839,4.361,0.752,83.333,29.1,28.537,0.815
SP3,W,1,10,94.5,4.955,1.199,6.154,50,0.888,9.816,0.64,86.667,32.1,31.883,4.198
SP3,W,2,10,91.3,4.508,0.816,5.324,35,0.691,9.187,0.776,90,25.167,24.46,4.101
SP3,W,3,8,75.2,1.737,0.337,2.074,37,0.617,5.036,0.643,73.333,9,6.51,0.327
SP3,W,4,4,71.2,1.192,0.297,1.489,35,0.345,4.047,0.657,83.333,15.533,12.687,2.92
SP3,W,5,8,85.7,3.22,0.705,3.925,41,0.627,9.816,0.693,85.333,22.727,21.364,2.923
SP3,W,6,9,96.4,3.726,0.861,4.587,49,0.592,8.413,0.752,93.333,31.833,31.28,3.07
SP4,NW,1,11,116.2,6.44,1.333,7.773,58,0.765,28.054,0.606,93.333,36.533,36.117,12.917
SP4,NW,2,11,93.2,4.866,1.027,5.893,51,0.938,9.011,0.862,90,41.2,40.753,9.461
SP4,NW,3,12,99.2,4.748,0.935,5.683,40,1.086,10.113,0.846,80,33.967,33.427,7.501
SP4,NW,4,10,114.2,5.394,1.003,6.397,54,1.061,19.251,0.632,86.667,26.2,24.25,4.031
SP4,NW,5,11,96.5,4.485,0.982,5.467,41,1.135,12.576,0.776,90,38.167,37.687,8.481
SP4,NW,6,11,103.9,5.185,1.058,6.243,49,0.997,15.801,0.744,88,35.213,34.447,8.478
SP4,W,1,11,117.8,6.588,1.212,7.8,51,0.913,22.368,0.584,93.333,30.033,29.187,8.045
SP4,W,2,11,119,5.877,1.363,7.24,68,0.864,26.624,0.595,80,23.1,22.53,2.406
SP4,W,3,11,106.5,7.148,1.801,8.949,50,0.962,34.143,0.858,93.333,42.933,42.59,13.033
SP4,W,4,11,111,5.034,1.143,6.177,60,1.456,27.861,0.513,86.667,34.033,33.5,12.173
SP4,W,5,10,121.2,5.684,1.284,6.968,53,1.924,30.101,0.502,86.667,38,37.593,12.569
SP4,W,6,10,113.2,5.235,1.429,6.664,62,1.48,26.719,0.548,90,43.6,42.023,9.204
SP5,NW,1,10,93.3,4.045,0.938,4.983,32,0.908,9.161,0.818,73.333,9.9,7.22,2.07
